Gender,Income,DaysWithoutFrequency,LifetimeValue,UseByTime,WaterActivities,FitnessActivities,TeamActivities,RacketActivities,CombatActivities,SpecialActivities,NumberOfFrequencies,AttendedClasses,NumberOfReferences,Dropout,EnrolledTime,DaysSinceLastVisit,LazinessIndex
1,2610.0,266,402.3,1,1.0,0.0,0.0,0.0,0.0,0.0,37.0,0,0,1,602,1088,0.9835984910611776
1,5600.0,55,606.37,0,0.0,1.0,0.0,0.0,0.0,1.0,149.0,7,0,1,480,754,0.9671969821223553
0,1060.0,153,43.6,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,1,153,1659,0.9654934437543133
1,1350.0,286,71.2,0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0,0,1,324,1792,0.9654934437543133
1,2340.0,9,38.5,0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0,0,1,28,212,0.8928571428571429
1,1530.0,52,116.6,0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0,0,1,280,1262,0.9507954731835329
1,1900.0,34,541.8,0,0.0,0.0,0.0,1.0,0.0,0.0,79.0,73,0,1,670,1220,0.6555683122847302
1,4970.0,66,138.35,0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0,0,1,103,728,1.0
1,2900.0,60,227.2,0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,10,0,1,417,1025,1.0
1,1900.0,46,128.6,0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0,0,1,258,769,0.9343939642447106
0,6510.0,36,206.2,0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0,0,0,246,36,0.9423187848490675
1,0.0,5,123.8,0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5,0,0,56,5,0.625
0,4060.0,12,79.2,0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0,0,1,131,154,0.9166203446359088
0,0.0,5,780.6,0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,36,0,0,590,5,0.7129735935706085
0,3880.0,27,50.7,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,1,43,141,0.9736911339121284
1,1300.0,15,197.2,0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,0,0,1,394,1107,0.9333999333999334
1,1630.0,10,45.1,0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0,0,0,36,10,0.727024567788899
0,0.0,0,233.6,0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,10,0,1,140,1368,0.7178329571106095
1,4490.0,84,120.2,0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,1,97,226,1.0
0,5020.0,94,2155.9,0,0.0,1.0,0.0,0.0,0.0,1.0,146.0,4,0,0,1576,94,1.0
0,2510.0,0,43.7,0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0,0,0,23,0,0.40855323020928114
0,3010.0,90,88.6,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0,0,1,93,752,1.0
0,5050.0,2,406.1,0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,0,0,1,318,1189,0.8359849106117763
0,2490.0,40,38.6,0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0,0,1,48,1436,0.9375260308204915
0,5160.0,29,43.7,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0,0,0,35,29,0.9333999333999334
1,1620.0,93,148.6,0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,6,0,1,146,740,1.0
0,1610.0,305,733.7,0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,49,0,1,727,1098,1.0
0,3340.0,11,41.6,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1,16,1319,0.7816593886462881
0,2090.0,33,446.2,0,0.0,1.0,0.0,0.0,0.0,0.0,120.0,0,0,1,656,1220,0.8387616897774911
0,5470.0,88,185.6,0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,24,0,1,191,1377,1.0
0,1960.0,54,43.6,0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0,0,1,84,847,0.7335997335997336
0,3430.0,265,83.6,0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0,0,1,340,1058,0.9000999000999002
